"Time","__name__","app","controller_class","controller_namespace","controller_pod","host","ingress","instance","job","kubernetes_namespace","kubernetes_node","kubernetes_pod_name","le","method","namespace","ns","path","pod_template_hash","service","status","Value"
1707238800000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,403,5499
1707239100000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,403,5499
1707238800000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,404,15379930
1707239100000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,404,15379952
1707238800000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,429,13353782
1707239100000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,429,13353782
1707238800000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,499,2229793
1707239100000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,499,2229793
1707238800000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,500,122
1707239100000,nginx_ingress_controller_request_duration_seconds_bucket,ingress-nginx,node.k8s.itim.vn/controller-nginx-browser,inf-prod,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,home.coccoc.com,coccoc-landing-frontend,172.16.16.96:10254,kubernetes-pods,inf-prod,br-ingress2v.itim.vn,ingress-nginx-controller-browser-prod-6667d78f7f-h9xcm,Infinity,GET,product-backend-prod,browser-prod,/,6667d78f7f,coccoc-landing-frontend,500,122
